date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T),dow,is_weekend,is_closed,close_reason,is_event,pre_event_peak,restock_flag
2024-11-25,25.28,10.46,3.31,0,0,0,,0,0,0
2024-11-26,27.04,11.64,3.37,1,0,0,,0,0,0
2024-11-27,28.4,10.82,3.29,2,0,0,,0,0,0
2024-11-28,27.52,13.07,3.31,3,0,0,,0,0,0
2024-11-29,26.32,12.27,3.26,4,0,0,,0,0,0
2024-11-30,26.24,11.44,3.23,5,1,0,,0,0,0
2024-12-01,26.56,12.08,3.37,6,1,0,,0,0,0
2024-12-02,25.52,10.68,3.37,0,0,0,,0,0,0
2024-12-03,24.48,9.89,3.29,1,0,0,,0,0,0
2024-12-04,25.04,12.14,3.37,2,0,0,,0,0,0
2024-12-05,27.2,10.54,3.26,3,0,0,,0,0,0
2024-12-06,27.84,11.37,3.14,4,0,0,,0,0,0
2024-12-07,27.04,10.39,3.37,5,1,0,,0,0,0
2024-12-08,26.48,12.47,3.31,6,1,0,,0,0,0
2024-12-09,28.72,10.11,3.29,0,0,0,,0,0,0
2024-12-10,27.12,11.91,3.46,1,0,0,,0,0,0
2024-12-11,26.72,10.68,3.49,2,0,0,,0,0,0
2024-12-12,25.52,11.24,3.2,3,0,0,,0,0,0
2024-12-13,27.04,10.96,3.14,4,0,0,,0,0,0
2024-12-14,28.08,12.67,3.4,5,1,0,,0,0,0
2024-12-15,27.84,11.82,3.31,6,1,0,,0,0,0
2024-12-16,26.24,10.89,3.37,0,0,0,,0,0,0
2024-12-17,25.92,9.75,3.26,1,0,0,,0,0,0
2024-12-18,25.04,11.71,3.37,2,0,0,,0,0,0
2024-12-19,26.96,12.34,3.23,3,0,0,,0,0,0
2024-12-20,24.64,10.96,3.29,4,0,0,,0,0,0
2024-12-21,27.68,12.67,3.57,5,1,0,,0,0,0
2024-12-22,27.12,12.34,3.34,6,1,0,,0,0,0
2024-12-23,26.8,11.12,3.26,0,0,0,,0,0,0
2024-12-24,26.56,10.39,3.37,1,0,0,,0,0,0
2024-12-25,27.04,11.71,3.29,2,0,0,,0,0,0
2024-12-26,26.32,11.12,3.31,3,0,0,,0,0,0
2024-12-27,25.68,12.21,3.2,4,0,0,,0,0,0
2024-12-28,27.36,10.61,3.29,5,1,0,,0,0,0
2024-12-29,26.4,12.54,3.31,6,1,0,,0,0,0
2024-12-30,25.2,10.89,3.14,0,0,0,,0,0,0
2024-12-31,31.55,12.47,3.23,1,0,0,,1,1,0
